"d061645","abdominoplasty","abdominoplasties","panniculectomy","panniculectomies"
"d057128","aberrometry","aberrometries"
"d016216","ultrasonography prenatal","ultrasonic prenatal diagnoses","ultrasonic diagnosis prenatal","fetal ultrasonography","ultrasonography fetal"
"d014467","ultraviolet therapy","actinotherapy","actinotherapies","therapies ultraviolet"
"d014546","urinary catheterization","catheterization ureteral","catheterization urethral","foley catheterization"
"d062885","urinary catheters","catheter ureteral","catheter urethral"
"d014547","urinary diversion","ileal conduit"
"d018590","uterine monitoring","tocodynamometry","tocography","tocogram"
"d063186","uterine myomectomy","myomectomies uterine","myomectomy","myomectomies","fibroidectomy","fibroidectomies"
"d014619","vacuum curettage","suction curettage","uterine aspirator"
"d044364","vaginal douching","vaginal lavage","vaginal irrigation"
"d014626","vaginal smears","cervical smear"
"d015167","vagotomy truncal","truncal vagotomies"
"d014636","valsalva maneuver",
"d058017","vascular grafting","vessel grafting blood"
"d016748","venous cutdown","vein cutdown","venostomy","venostomies"
"d015300","ventilator weaning","respirator weaning","weaning mechanical ventilator"
"d012122","ventilators mechanical","ventilator pulmonary","respirator","ventilator"
"d017287","ventriculoperitoneal shunt","ventriculo peritoneal shunt"
"d014710","version fetal","version external cephalic"
"d014716","vertical dimension","rest vertical dimension","vertical dimension of occlusion","occlusion vertical dimension","mandibular rest position","vertical dimension at rest"
"d019562","viral load","viral burden","virus titer"
"d014776","virus cultivation","viral cultivation"
"d038301","virus inactivation","viral inactivation"
"d015351","vision screening",
"d014787","vision tests",
"d014792","visual acuity","acuities visual"
"d057488","visual prosthesis","prostheses visual","retinal prosthesis","prostheses retinal","bionic eye"
"d014797","vital capacity","capacities vital","forced vital capacity","vital capacities forced"
"d055986","vital signs",
"d014798","vital statistics","vital statistics registration","registration of vital statistics"
"d057586","vitreoretinal surgery","surgeries vitreoretinal"
"d014834","voice training",
"d055105","waist circumference",
"d000070857","walk test","6 minute walk test","incremental shuttle walk test","endurance shuttle walk test"
"d000072797","walking speed","gait speed","walking pace"
"d052096","warm ischemia","warm ischemia time","warm ischemic time"
"d058067","wavelet analysis","analyses wavelet","wavelet signal processing","transform wavelet","analyses spatiotemporal wavelet","analysis spatiotemporal wavelet","wavelet analyses spatiotemporal"
"d018544","weightlessness countermeasures",
"d018474","weightlessness simulation","microgravity simulation","weightlessness model"
"d028761","withholding treatment","cessation of treatment","treatment cessation","withdrawing treatment","withdrawing care"
"d015998","abbreviated injury scale",
"d000075162","abuse deterrent formulations",
"d000134","acid etching dental",
"d000158","acoustic impedance tests","impedance audiometry","tympanometry","test electroacoustic impedance"
"d000073931","adverse outcome pathways",
"d020906","air abrasion dental",
"d064728","alveolar bone grafting","alveolar cleft grafting"
"d000540","alveolar ridge augmentation","augmentation mandibular ridge","augmentation maxillary ridge"
"d000556","ambulatory surgical procedures","outpatient surgery","outpatient surgeries","procedure ambulatory surgical","ambulatory surgeries","surgery office","office surgeries","surgery day","day surgeries"
"d019943","amino acid substitution",
"d016058","analgesia patient controlled",
"d000704","analysis of variance","anova","analysis variance","analyses variance"
"d000760","anesthesia and analgesia",
"d000074022","anesthesia cardiac procedures","anesthesia cardiac","cardiac anaesthesia","cardiothoracic anaesthesia","cardiothoracic anesthesia","cardiovascular anesthesia"
"d000764","anesthesia closed circuit","anesthesia rebreathing"
"d000762","anesthesia recovery period",
"d015901","angiography digital subtraction",
"d015906","angioplasty balloon coronary","transluminal coronary balloon dilation","balloon dilation coronary artery","coronary balloon angioplasties","coronary angioplasty transluminal balloon","angioplasty transluminal percutaneous coronary"
"d056447","animal assisted therapy","therapies animal assisted","animal facilitated therapies","facilitated therapy animal","pet therapies","therapy pet","facilitated therapies pet","facilitated therapy pet","therapies pet facilitated"
"d000823","animal identification systems",
"d000826","animal testing alternatives",
"d023401","animal use alternatives","animal testing reduction refinement and replacement"
"d055109","ankle brachial index","indices ankle brachial","toe brachial index","toe brachial indices"
"d038481","anterior temporal lobectomy",
"d019540","area under curve","auc"
"d057908","argon plasma coagulation","beam coagulation argon"
"d000069278","arterial switch operation","atrial switch operation","atrial switch procedure","atrial switch repair","double switch technique","double switch operation","arterial switch technique","atrial switch technique","arterial switch procedure","double switch procedure","rastelli operation","rastelli technique","rastelli repair","rastelli procedure","senning operation","senning procedure","jatene procedure","jatene technique","jatene operation","mustard repair","mustard operation","mustard procedure"
"d001166","arteriovenous shunt surgical",
"d058737","arthroplasty replacement ankle","total ankle replacement","arthroplasties ankle replacement"
"d057929","arthroplasty replacement elbow","total elbow replacement","elbow replacement arthroplasties"
"d050806","arthroplasty replacement finger","replacement arthroplasties finger"
"d019644","arthroplasty replacement hip","arthroplasties replacement hip","hip prosthesis implantation","arthroplasties hip replacement","hip replacement total"
"d019645","arthroplasty replacement knee","replacement arthroplasties knee","arthroplasty total knee","total knee replacement","arthroplasty knee","arthroplasty replacement partial knee","knee arthroplasty unicompartmental","arthroplasty unicondylar knee","arthroplasty partial knee","knee replacement unicondylar","knee replacement partial","knee replacement unicompartmental"
"d000072228","arthroplasty replacement shoulder","total shoulder replacement","replacement arthroplasties shoulder"
"d019677","artificial gene fusion","gene fusion technology","gene fusion technologies","in vitro gene fusion mutagenesis"
"d001273","atmosphere exposure chambers",
"d001300","audiometry evoked response","audiometry electroencephalic response","response audiometries electroencephalic","evoked response audiometries","electrocochleography","electrocochleographies"
"d001301","audiometry pure tone","audiometry bekesy"
"d001340","autonomic nerve block","block sympathetic nerve"
"d058452","axial length eye",
"d066254","axillofemoral bypass grafting","axillo femoral bypass grafting","grafting axillo femoral bypass","bypass grafting axillobifemoral","axillo bifemoral bypass grafting","grafting axillo bifemoral bypass"
"d015373","bacterial typing techniques","typing technic bacterial","bacterial biotyping","typing bacterial","typing bacteriocin"
"d050936","basic reproduction number","basic reproduction ratio","basic reproductive rate"
"d015549","basophil degranulation test",
"d001512","bedding and linens","linen"
"d000067289","behavior observation techniques","behavioral observation technique","behavior observation","behavioral observation"
"d001674","bioelectric energy sources","bioelectric power source","source bioelectric power","microbial fuel cell","biobatteries","biobattery","biofuel cell"
"d044963","biopsy fine needle","biopsies fine needle","aspiration biopsy fine needle","fine needle aspiration biopsies","aspiration fine needle"
"d058366","blalock taussig procedure","subclavian pulmonary artery shunt","blue baby operation","shunt blalock taussig","blalock taussig operation","modified blalock taussig procedure","modified blalock taussig shunt"
"d001772","blood cell count","blood cell number","blood count complete"
"d001774","blood chemical analysis","chemical analyses blood"
"d001776","blood circulation time",
"d001780","blood coagulation tests",
"d001781","blood component removal","pheresis","phereses","apheresis","aphereses"
"d016913","blood component transfusion",
"d001783","blood flow velocity","velocities blood flow"
"d001784","blood gas analysis","gas analyses blood"
"d017217","blood patch epidural",
"d001795","blood pressure determination",
"d015924","blood pressure monitors","pressure monitor blood"
"d001797","blood protein electrophoresis","protein electrophoreses blood"
"d001800","blood specimen collection",
"d001804","blood transfusion autologous","autotransfusion"
"d001805","blood transfusion intrauterine","transfusion intrauterine","transfusion fetal"
"d001806","blood urea nitrogen","bun"
"d001807","blood vessel prosthesis","blood vessel prostheses","prostheses vascular","prosthesis vascular","graft tissue engineered vascular"
"d001811","blood volume determination",
"d026481","blotting far western","blotting west western","far western blot","blot west western"
"d050218","body fat distribution","fat patterning body"
"d015992","body mass index","quetelet index"
"d001830","body surface area",
"d000077280","bone anchored prosthesis","bone anchored prostheses","osseo anchored prosthesis","osseo anchored prostheses","bone anchored implant","bone anchored device","implant osseointegrated","implant osseo integrated","bone anchored amputation prosthesis","amputation prostheses bone anchored","intraosseous transcutaneous amputation prosthesis"
"d018775","bone demineralization technique","demineralization technic bone"
"d000069343","bone implant interface","bone prosthesis interface"
"d001856","bone marrow examination",
"d016465","bone marrow purging","hematopoietic stem cell purging"
"d016026","bone marrow transplantation","grafting bone marrow","bone marrow cell transplantation"
"d065527","brachial plexus block","brachial plexus anesthesia","brachial plexus blockade"
"d062207","brain computer interfaces","brain machine interface"
"d016380","brain tissue transplantation","grafting brain tissue"
"d016504","breast self examination",
"d001985","bronchial provocation tests","challenge test endobronchial","test endobronchial challenge","allergen challenge endobronchial","allergen challenge bronchial","bronchial challenge test","test bronchial provocation"
"d001992","bronchoalveolar lavage fluid","bronchial alveolar lavage fluid","pulmonary lavage fluid","lavage fluid bronchial","lavage fluid lung","alveolar lavage fluid"
"d002152","calorimetry differential scanning","scanning calorimetry differential"
"d057791","cardiac imaging techniques","imaging technique intracardiac","technique intracardiac imaging"
"d002304","cardiac pacing artificial",
"d058406","cardiac resynchronization therapy","resynchronization pacing therapy cardiac","resynchronization cardiac","atrio biventricular pacing","biventricular pacing"
"d006348","cardiac surgical procedures","heart surgical procedure"
"d058385","cardiac valve annuloplasty","valve annuloplasties cardiac","annuloplasties valvular","annuloplasty valvular","annuloplasties heart valve","annuloplasty heart valve","valve annuloplasties heart","cardiac valve annulus repair","heart valve annulus repair","cardiac valve annular repair","heart valve annular repair","cardiac valve annular reduction","cardiac valve annulus shortening","cardiac valve annulus reduction"
"d013504","cardiovascular surgical procedures",
"d016022","case control studies","case control study","case comparison studies","case comparison study","case compeer studies","case referrent studies","case referrent study","case referent studies","case referent study","case base studies","nested case control studies","study nested case control","case control studies matched","matched case control study"
"d002405","catheterization central venous","central catheterization"
"d002407","catheterization swan ganz","pulmonary artery catheterization"
"d055984","cathode ray tube","cathode ray","cathode ray tube display"
"d002423","cause of death","death cause"
"d016516","cd4 cd8 ratio","t4 t8 ratio"
"d018791","cd4 lymphocyte count","cd4 cell count","cd4 count","t4 lymphocyte count"
"d018929","cell culture techniques","cell culture"
"d000081163","cell line authentication","cell line identification","cell line misidentification"
"d054443","cell migration assays","assay cell motility","motility assay cell"
"d000067470","cellular reprogramming techniques","cell programming technique","cell reprogramming technique","differentiation technique directed","technique directed differentiation"
"d062905","central venous catheters",
"d002499","centrifugation density gradient",
"d002557","cerebrospinal fluid shunts",
"d054791","cervical length measurement",
"d066008","cervical plexus block","anesthesia cervical plexus","blockade cervical plexus"
"d017604","cesarean section repeat",
"d002623","chemistry techniques analytical","method analytical chemistry"
"d060326","chemistry techniques synthetic","technique inorganic synthesis","synthesis method inorganic","peptide syntheses synthetic","synthesis synthetic peptide","organic synthesis technique","method organic synthesis","technique peptide synthesis","peptide synthesis method","inorganic syntheses","synthesis inorganic","organic syntheses","synthesis organic"
"d035641","chest wall oscillation","external chest wall oscillation","high frequency chest wall oscillation","high frequency chest compression","high frequency chest wall compression"
"d016009","chi square distribution","chi square test"
"d057207","child restraint systems","child safety seat"
"d002760","cholangiopancreatography endoscopic retrograde","retrograde cholangiopancreatographies endoscopic","ercp"
"d049448","cholangiopancreatography magnetic resonance","cholangiopancreatographies magnetic resonance"
"d015193","chorionic villi sampling","biopsy chorionic villi","biopsies chorionic villi","chorionic villus sampling"
"d000081204","chromatin immunoprecipitation sequencing","chip sequencing","chromatin immuno precipitation sequencing","chip chip","chromatin immunoprecipitation sequencing chip","chip exonuclease","clip seq","cross linking and immunoprecipitation followed by deep sequencing","atac seq","assay for transposase accessible chromatin using sequencing","hits clip","high throughput sequencing of rna isolated by crosslinking immunoprecipitation","chia pet","chromatin immuno precipitation paired end tag","chromatin immunoprecipitation paired end tag"
"d002848","chromatography deae cellulose",
"d002852","chromatography ion exchange","chromatographies ion exchange"
"d056148","chromatography reverse phase","reversed phase chromatography","chromatography reversed phase liquid","reverse phase liquid chromatography"
"d025924","chromatography supercritical fluid","sfc supercritical fluid chromatography","supercritical fluid extraction","sfe supercritical fluid extraction"
"d002855","chromatography thin layer","chromatographies thin layer"
"d000079662","chronic disease indicators","disease surveillance chronic"
"d019963","clinical chemistry tests",
"d000066491","clinical decision making","medical decision making"
"d000081415","clinical decision rules","clinical prediction rule"
"d004796","clinical enzyme tests",
"d019411","clinical laboratory techniques","test clinical laboratory","testing clinical laboratory","diagnose clinical laboratory","laboratory diagnosis"
"d000070628","closed fracture reduction",
"d023881","colonography computed tomographic","virtual colonoscopy","ct colonography"
"d015169","colony count microbial","colony forming units assay microbial","fungal count","streak plate count","spore count","spread plate count","agar dilution count","count pour plate"
"d003119","color perception tests",
"d020650","combinatorial chemistry techniques","technic combinatorial chemistry"
"d003131","combined modality therapy","multimodal treatment","therapies combined modality"
"d003145","communication methods total",
"d055028","comparative genomic hybridization","genome hybridization comparative","array based comparative genomic hybridization","array comparative genomic hybridization"
"d057176","compassionate use trials","trial expanded access","humanitarian device exemption","use compassionate"
"d003168","complement fixation tests","complement absorption test conglutinating","reaction conglutination"
"d000072226","computed tomography angiography","tomography angiographies computed","angiography computed tomography","angiography ct","angiographies ct"
"d003263","contact lenses hydrophilic","contact lenses soft","contact lens soft","contact lens hydrophilic"
"d003264","containment of biohazards","containment biologic","biological containment","biosafety","physical containment"
"d003274","contraceptive devices female","spring coiled","sponge vaginal","ring vaginal","shield vaginal","cap cervical","diaphragm vaginal"
"d003275","contraceptive devices male",
"d000069216","contraceptive prevalence surveys",
"d048988","corneal surgery laser","surgeries laser corneal","laser corneal surgery","keratectomy laser","keratectomies laser","photokeratectomy","photokeratectomies"
"d003321","cornell medical index",
"d001026","coronary artery bypass","coronary artery bypasses","aortocoronary bypass","aortocoronary bypasses","bypass surgery coronary artery","coronary artery bypass grafting"
"d018592","cross over studies","cross over study","crossover studies","crossover study","trial cross over","trial crossover","cross over design","crossover design"
"d003430","cross sectional studies","cross sectional study","cross sectional analysis","analyses cross sectional","cross sectional survey","disease frequency survey","prevalence studies","prevalence study"
"d018568","crown rump length",
"d018360","crystallography x ray","x ray crystallography","x ray crystallographies"
"d017077","culture media conditioned","conditioned medium","culture medium conditioned","conditioned media"
"d055117","curing lights dental",
"d003588","cytopathogenic effect viral","cytopathic effect viral"
"d065426","cytoreduction surgical procedures","surgical procedure debulking","cytoreductive surgeries","surgery cytoreductive","surgical procedure cytoreductive"
"d003601","cytotoxicity tests immunologic","cytotoxicity test immunologic","lymphocytotoxicity test antiglobulin augmented","microcytotoxicity test","ahg cdc test","anti human globulin complement dependent cytotoxicity test"
"d003627","data interpretation statistical","data analysis statistical","statistical data analyses"
"d066264","datasets as topic","dataset as topic"
"d003631","day care medical","hospitalization partial","day care"
"d003661","decision support techniques","decision support technic","decision support model","decision modeling","aid decision","decision analysis","analyses decision"
"d046690","deep brain stimulation","electrical stimulation of the brain"
"d003692","delayed action preparations","controlled release preparation","controlled release formulation","sustained release preparation","extended release preparation","slow release formulation","sustained release formulation","extended release formulation","timed release preparation","depot preparation","prolonged action preparation"
"d003735","dental casting technique","dental casting technic","casting technic dental"
"d003736","dental cavity lining","cavity varnish","varnishes cavity","varnish cavity lining","varnishes cavity lining","liner dental cavity"
"d003737","dental cavity preparation",
"d003753","dental health surveys",
"d003758","dental implantation endosseous","implantation osseointegrated dental","endosseous implantation"
"d016299","dental implantation subperiosteal","subperiosteal dental implantation"
"d003761","dental impression technique","technic dental impression"
"d018772","dental marginal adaptation","adaptation marginal dental","dental internal adaptation","fit dental internal"
"d003767","dental occlusion balanced",
"d003768","dental occlusion centric",
"d003774","dental plaque index","indexes dental plaque","indices dental plaque"
"d017267","dental prosthesis design",
"d017269","dental prosthesis repair",
"d017268","dental prosthesis retention",
"d003785","dental pulp capping","pulp capping"
"d003787","dental pulp devitalization",
"d003791","dental pulp test",
"d019232","dental restoration failure","failure dental prosthesis"
"d003793","dental restoration permanent","dental permanent filling"
"d058250","dental restoration repair",
"d003794","dental restoration temporary","dental prostheses temporary","prosthesis temporary dental","dental filling temporary"
"d019554","dental restoration wear","wear restoration occlusal","wear denture"
"d003799","dental stress analysis","dental stress analyses"
"d003825","denture complete immediate",
"d003826","denture complete lower",
"d003827","denture complete upper",
"d003821","denture identification marking",
"d003830","denture partial fixed","denture fixed partial","pontic"
"d003831","denture partial immediate",
"d003832","denture partial removable",
"d003833","denture partial temporary","prostheses interim dental","dental interim prosthesis"
"d003834","denture precision attachment","slotted attachment dental","attachment intracoronal"
"d062109","dermatologic surgical procedures","cutaneous surgical procedure","skin surgeries","surgery skin","cutaneous surgeries","surgery cutaneous","dermatologic surgeries","surgery dermatologic"
"d041961","deuterium exchange measurement","exchange measurement hydrogen deuterium"
"d003921","diabetes mellitus experimental",
"d003936","diagnosis computer assisted","computer assisted diagnoses"
"d017831","diagnosis dual psychiatry","diagnoses dual psychiatry","dual diagnosis psychiatric","psychiatric dual diagnoses","diagnoses dual","diagnosis dual"
"d059026","diagnostic self evaluation","complaint subjective health","health subjective","self appraisal","self evaluation"
"d003935","diagnostic techniques cardiovascular","technique cardiovascular diagnostic"
"d003940","diagnostic techniques endocrine","technique endocrine diagnostic"
"d003943","diagnostic techniques neurological","neurological diagnostic technic","technique neurological diagnostic","diagnostic technic neurologic"
"d003941","diagnostic techniques ophthalmological","ophthalmological diagnostic technic","technique ophthalmological diagnostic","diagnostic technic ophthalmologic"
"d003939","diagnostic techniques otological","technique otological diagnostic","diagnostic technic otologic","diagnostic technique otologic","otological diagnostic technic"
"d003947","diagnostic techniques radioisotope","technique radioisotope diagnostic"
"d003949","diagnostic techniques surgical","diagnostic technic surgical"
"d003950","diagnostic techniques urological","diagnostic technique urologic","technique urological diagnostic","diagnostic technic urologic"
"d057069","diagnostic test approval","in vitro diagnostic device approval"
"d003955","diagnostic tests routine","preadmission physical examination","hospital admission test","admission test routine","diagnostic test"
"d004007","dichotic listening tests",
"d000070601","diet carbohydrate loading","carbohydrate loading"
"d050528","diet carbohydrate restricted","diet low carbohydrate"
"d018752","diet fat restricted","diet low fat","diet fat free"
"d055050","diet gluten free",
"d000073600","diet high protein",
"d018753","diet protein restricted","low protein diet","diet protein free"
"d004039","diet sodium restricted","diet low sodium","diet low salt","diet salt free"
"d004055","differential thermal analysis","thermal analyses differential"
"d015194","diffusion chambers culture","chamber semi permeable","chamber semipermeable","cage tissue"
"d056324","diffusion tensor imaging","diffusion tensor magnetic resonance imaging","diffusion tensor mri","dti mri","diffusion tractography"
"d051517","digital rectal examination","palpation rectal"
"d004107","dilatation and curettage","dilatation curettage"
"d061827","dimensional measurement accuracy","measurement accuracies dimensional"
"d019020","directed molecular evolution","evolution molecular directed","in vitro molecular evolution","laboratory molecular evolution"
"d023801","directly observed therapy",
"d018572","disease free survival",
"d004195","disease models animal",
"d058893","dna barcoding taxonomic","barcoding phylogenetic dna","barcode taxonomic dna","barcode phylogenetic dna"
"d004252","dna mutational analysis","dna mutational analyses"
"d019583","dose fractionation radiation","dose fractionation radiotherapy"
"d058582","double balloon enteroscopy","double balloon enteroscopies","push and pull enteroscopy","enteroscopies push and pull"
"d004311","double blind method","double masked method","double masked study","double masked studies","double blind study","double blind studies"
"d004333","drug administration routes",
"d004334","drug administration schedule",
"d016503","drug delivery systems","targeting drug"
"d054796","drug dosage calculations","calculation pharmaceutical","arithmetic pharmaceutical"
"d054855","drug eluting stents","drug coated stent"
"d004353","drug evaluation preclinical","evaluation studies drug preclinical","drug screening","evaluation studies drug pre clinical","medicinal plants testing preclinical"
"d004359","drug therapy combination","combination chemotherapy","drug polytherapy","drug polytherapies","chemotherapies combination","therapies combination drug","polychemotherapy","polychemotherapies"
"d058995","dry powder inhalers",
"d004389","durable medical equipment",
"d000081206","duration of therapy","therapy duration","duration of treatment","treatment duration"
"d004395","dye dilution technique","dilution technic dye"
"d000067493","dynamic light scattering","light scattering quasi elastic qels"
"d004430","ear protective devices","earplug","protective device hearing","earmuff"
"d000080162","early warning score",
"d017352","echo planar imaging","echoplanar imaging","echoplanar magnetic resonance imaging","echo planar magnetic resonance imaging","echo planar mr tomography","tomographies echo planar mr","tomographies echoplanar mr","mr tomography echoplanar"
"d018618","echocardiography doppler color","color flow echocardiography","flow echocardiographies color","echocardiography color flow"
"d018619","echocardiography doppler pulsed","echocardiography doppler pulsed"
"d019561","echocardiography four dimensional","echocardiography 4d","echocardiographies four dimensional","4d echocardiographies","4 d echocardiography","4 d echocardiographies"
"d019560","echocardiography three dimensional","echocardiography 3d","echocardiographies three dimensional","3d echocardiographies","3 d echocardiography","3 d echocardiographies"
"d064308","ecological parameter monitoring","health monitoring ecosystem"
"d054459","elasticity imaging techniques","elasticity imaging tissue","elastography","elastographies","vibro acoustography","vibro acoustographies","magnetic resonance elastography","resonance elastographies magnetic","sonoelastography","sonoelastographies","acoustic radiation force impulse imaging","arfi imaging","elastogram"
"d017558","elective surgical procedures",
"d011211","electric power supplies","supply electric power","power supplies","power supply","power source electric","power source"
"d004599","electric stimulation therapy","stimulation therapeutic electrical","electric stimulation therapeutic","stimulation therapy electrical","stimulation therapy electric","electrotherapy","interferential current electrotherapy"
"d058407","electroencephalography phase synchronization","phase synchrony eeg","electroencephalography phase synchrony","synchronies electroencephalography phase","eeg phase synchrony","synchronies eeg phase","synchrony eeg phase","eeg phase synchronization","desynchronization electroencephalography phase","electroencephalography phase desynchrony","phase desynchronies electroencephalography","desynchronies eeg phase","desynchrony eeg phase","phase desynchronies eeg","desynchronization eeg phase"
"d055032","electron microscope tomography","tomography em","electron microtomography","electron tomography","transmission electron microscopy tomography","microtomography transmission electron","tomography tem","tomography stem","scanning transmission electron microscopy tomography"
"d004577","electron probe microanalysis","probe microanalyses electron","microscopy electron x ray microanalysis","spectrometry x ray emission electron microscopic","x ray microanalysis electron probe","x ray emission spectrometry electron probe","microanalysis x ray","x ray microanalysis electron microscopic"
"d057286","electronic health records","electronic health record","medical record computerized"
"d004587","electrophoresis agar gel","agarose gel electrophoresis"
"d004588","electrophoresis cellulose acetate","cellulose acetate electrophoreses"
"d004591","electrophoresis polyacrylamide gel","sds page","sodium dodecyl sulfate page"
"d004592","electrophoresis starch gel",
"d022062","electrophysiologic techniques cardiac","electrophysiological technique cardiac","cardiac electrophysiologic technic","technique intracardiac electrophysiological","technic intracardiac electrophysiological","intracardiac electrophysiologic technique","electrophysiologic study transesophageal","transesophageal electrophysiologic studies","electrophysiological study transesophageal","transesophageal electrophysiological studies","intra atrial electrogram","electrogram atrial","electrogram intracardiac","cardiac programmed electrostimulation","cardiac electrophysiologic studies","cardiac electrophysiologic study","studies cardiac electrophysiologic","his bundle electrogram","bundle of his electrogram"
"d057505","embolic protection devices","device emboli protection","protection device emboli","protection device embolism","embolic protection filter"
"d046149","embryo culture techniques","blastocyst culture technique"
"d004633","emergency medical tags",
"d004681","encephalomyelitis autoimmune experimental","experimental allergic encephalomyelitides","experimental autoimmune encephalomyelitis","allergic encephalomyelitis"
"d013507","endocrine surgical procedures",
"d055356","endometrial ablation techniques","ablation endometrial","ablation technic endometrial","technic endometrial ablation"
"d000069916","endoscopic mucosal resection","biopsies strip","biopsy strip","endoscopic mucous membrane resection","endoscopic submucosal dissection"
"d016145","endoscopy digestive system","digestive system endoscopies","endoscopic digestive system surgery","surgery endoscopic digestive system","procedure endoscopic digestive system surgical","esophagogastroduodenoscopy","esophagogastroduodenoscopies"
"d056947","enzyme replacement therapy","therapies enzyme replacement"
"d015340","epidemiologic research design","epidemiological research design"
"d016020","epidemiologic study characteristics",
"d017050","episode of care","episode patient care","care episode"
"d056147","equine assisted therapy","equine assisted therapies","equine assisted psychotherapy","equine assisted psychotherapies","hippotherapy","hippotherapies","recreational horseback riding therapy","horseback riding therapy","therapies horseback riding"
"d004864","equipment and supplies","apparatus and instruments","supplies","inventories","inventory","medical device","device","equipment"
"d019544","equipment failure analysis","failure analyses equipment","analysis prosthesis failure","failure analyses prosthesis","analysis materials failure","failure analyses materials"
"d050782","esophageal ph monitoring","recording esophageal ph","ambulatory esophageal ph monitoring","ambulatory 24 hour esophageal ph monitoring"
"d015914","estrogen replacement therapy","therapies estrogen replacement","replacement therapy estrogen","estrogen replacement","postmenopausal hormone replacement therapy","hormone replacement therapy post menopausal","estrogen progestin replacement therapy","estrogen progestin combination therapy"
"d033101","euthanasia active voluntary","voluntary euthanasia"
"d026241","exercise movement techniques","exercise movement technics","pilates training"
"d005105","expiratory reserve volume",
"d015199","extracorporeal membrane oxygenation","ecmo treatment","life support extracorporeal","treatment ecls"
"d000074059","extracorporeal shockwave therapy","therapy extracorporeal shockwave","shock wave therapies","therapy shock wave","extracorporeal shock wave therapy","extracorporeal high intensity focused ultrasound therapy","hifu therapy","hifu therapies","high intensity focused ultrasound therapy"
"d005115","extraoral traction appliances","orthodontic headgear","orthodontic chincap","bow orthodontic face"
"d053483","eye movement measurements",
"d005163","factor analysis statistical","statistical factor analyses","analyses factor","factor analysis"
"d005188","false negative reactions",
"d005189","false positive reactions",
"d000069467","fecal microbiota transplantation","microbiota transfer intestinal","transplantation fecal","transplant fecal","feces infusion donor"
"d053566","feminine hygiene products",
"d005307","fertilization in vitro","test tube fertilization","test tube babies","baby test tube"
"d016332","fetal tissue transplantation","grafting fetal tissue","donation fetal tissue"
"d020342","finite element analysis","finite element analyses"
"d017022","flow injection analysis","injection analyses flow"
"d016231","fluorescence polarization immunoassay","fluoroimmunoassay polarization"
"d005455","fluorescent antibody technique","immunofluorescence technic","immunofluorescence technique","fluorescent antibody technic","coon technic","antinuclear antibody test fluorescent","coon technique","fluorescent protein tracing","immunofluorescence"
"d005500","follow up studies","follow up study","followup studies","followup study"
"d005541","forced expiratory volume","fevt","vital capacity timed","forced vital capacity timed","vital capacities timed"
"d005581","foster home care","fostering","kinship care","foster care adult"
"d031521","fractionation field flow","sedimentation field flow fractionation","sdfff"
"d005593","fracture fixation internal","fracture osteosyntheses","fracture osteosynthesis"
"d005594","fracture fixation intramedullary","osteosynthesis fracture intramedullary","intramedullary nailing"
"d058752","free tissue flaps","microsurgical free flap","flap free"
"d005652","functional residual capacity","residual capacities functional"
"d005712","galvanic skin response","electric conductance skin","response electrodermal","psychogalvanic reflex"
"d015181","gamete intrafallopian transfer",
"d005745","gastric acidity determination",
"d005781","gelatin sponge absorbable","gelfoam","gelaspon"
"d000075423","gene drive technology","technologies gene drive","drive system gene","system gene drive","drive gene"
"d020869","gene expression profiling","transcriptome profiling","transcript expression analysis","analyses transcript expression","transcriptome analysis","analyses transcriptome","gene expression monitoring","gene expression pattern analysis","mrna differential display"
"d055785","gene knockdown techniques","knockdown gene","knock down gene","gene knock down technique"
"d055786","gene knockout techniques","knockout gene","gene knock out technique","knock out gene"
"d018014","gene transfer techniques","transgenesis","delivery system gene"
"d056726","genetic association studies","study genetic association","genotype phenotype correlation","genotype phenotype association","analyses candidate gene","analysis candidate gene","gene analyses candidate","identification candidate gene","candidate gene association study","gene discovery","candidate gene association studies"
"d006580","genetic carrier screening","carrier detection genetic","heterozygote detection","heterozygote screening"
"d005816","genetic complementation test","trans test","complementation test","allelism test","cis test","cis trans test"
"d060745","gingival retraction techniques",
"d015600","glasgow coma scale",
"d023261","glasgow outcome scale",
"d020327","glaucoma drainage implants","aqueous shunt","filtration implant glaucoma","implant glaucoma filtration","aqueous humor shunt","krupin valves"
"d005919","glomerular filtration rate",
"d015309","glucose clamp technique","glucose clamp technic","glucose clamping","euglycaemic clamping","euglycemic clamping","euglycemic clamp","euglycaemic clamp","glucose clamp"
"d005951","glucose tolerance test","oral glucose tolerance test","ogtt","oral glucose tolerance","intravenous glucose tolerance test","intravenous glucose tolerance"
"d006082","graft enhancement immunologic","graft enhancement immunological","graft enhancement"
"d048091","guided tissue regeneration",
"d013509","gynecologic surgical procedures","surgery gynecological","gynecological surgeries","gynecological surgical procedure","gynecologic surgeries","surgery gynecologic"
"d058733","hand assisted laparoscopy","hand assisted laparoscopies","hand assisted laparoscopic surgery","surgeries hand assisted laparoscopic","hand assisted laparoscopic surgical procedures"
"d064087","head impulse test","head heave test","head thrust test"
"d006260","head protective devices","helmet"
"d019538","health care surveys","healthcare survey","national hospital discharge survey","national ambulatory medical care survey"
"d062489","health impact assessment",
"d066275","health information exchange","exchange medical information"
"d055991","health records personal","information personal health","medical record personal","record personal medical"
"d000069098","health smart cards","patient identification card","card smart"
